assays_assay_id,assays_tid,assays_relationship_type,assays_confidence_score,assays_curated_by,assays_src_id,assays_src_assay_id,assays_chembl_id,assays_cell_id,assays_bao_format,assays_tissue_id,assays_variant_id
7524,50597,N,1,Intermediate,1,,CHEMBL618647,,BAO_0000218,2113.0,
7525,50597,N,1,Intermediate,1,,CHEMBL618648,,BAO_0000218,2113.0,
7526,50597,N,1,Intermediate,1,,CHEMBL618649,,BAO_0000218,2113.0,
7527,50597,N,1,Intermediate,1,,CHEMBL618650,,BAO_0000218,2107.0,
7528,50597,N,1,Intermediate,1,,CHEMBL618651,,BAO_0000218,2107.0,
7529,50597,N,1,Intermediate,1,,CHEMBL876497,,BAO_0000218,2107.0,
7530,50597,N,1,Intermediate,1,,CHEMBL618652,,BAO_0000218,2048.0,
7531,50597,N,1,Intermediate,1,,CHEMBL618653,,BAO_0000218,2048.0,
7532,50597,N,1,Intermediate,1,,CHEMBL618654,,BAO_0000218,2048.0,
7533,50597,N,1,Intermediate,1,,CHEMBL618655,,BAO_0000218,,
7534,50597,N,1,Intermediate,1,,CHEMBL618656,,BAO_0000218,,
7535,22229,U,0,Intermediate,1,,CHEMBL618657,,BAO_0000100,,
7536,50597,N,1,Intermediate,1,,CHEMBL618658,,BAO_0000218,,
7537,50597,N,1,Intermediate,1,,CHEMBL618659,,BAO_0000218,,
7538,50597,N,1,Intermediate,1,,CHEMBL618660,,BAO_0000218,,
7539,50597,N,1,Intermediate,1,,CHEMBL618661,,BAO_0000218,,
7540,50597,N,1,Intermediate,1,,CHEMBL873807,,BAO_0000218,,
7541,50597,N,1,Intermediate,1,,CHEMBL618662,,BAO_0000218,,
7542,50597,N,1,Intermediate,1,,CHEMBL618663,,BAO_0000218,,
7543,50597,N,1,Intermediate,1,,CHEMBL618664,,BAO_0000218,,
7544,50597,N,1,Intermediate,1,,CHEMBL618665,,BAO_0000218,,
7545,50597,N,1,Intermediate,1,,CHEMBL876498,,BAO_0000218,,
7546,50597,N,1,Intermediate,1,,CHEMBL618666,,BAO_0000218,,
